Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
A-Bomb,0,Male,yellow,Human,No Hair,Marvel Comics,-,203.0,441.0,38.0,100.0,17.0,80.0,17.0,64.0,316.0
Abe Sapien,0,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191.0,65.0,88.0,14.0,35.0,42.0,35.0,85.0,299.0
Abin Sur,0,Male,blue,Ungaran,No Hair,DC Comics,red,185.0,90.0,50.0,90.0,53.0,64.0,84.0,65.0,406.0
Abomination,1,Male,green,Human / Radiation,No Hair,Marvel Comics,-,203.0,441.0,63.0,80.0,53.0,90.0,55.0,95.0,436.0
Abraxas,1,Male,blue,Cosmic Entity,Black,Marvel Comics,-,-99.0,-99.0,88.0,100.0,83.0,99.0,100.0,56.0,526.0
Absorbing Man,1,Male,blue,Human,No Hair,Marvel Comics,-,193.0,122.0,,,,,,,
Adam Monroe,0,Male,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0,63.0,10.0,12.0,100.0,71.0,64.0,320.0
Adam Strange,0,Male,blue,Human,Blond,DC Comics,-,185.0,88.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Agent 13,0,Female,blue,-,Blond,Marvel Comics,-,173.0,61.0,,,,,,,
Agent Bob,0,Male,brown,Human,Brown,Marvel Comics,-,178.0,81.0,10.0,8.0,13.0,5.0,5.0,20.0,61.0
Agent Zero,0,Male,-,-,-,Marvel Comics,-,191.0,104.0,75.0,28.0,38.0,80.0,72.0,95.0,388.0
Air-Walker,1,Male,blue,-,White,Marvel Comics,-,188.0,108.0,50.0,85.0,100.0,85.0,100.0,40.0,460.0
Ajax,1,Male,brown,Cyborg,Black,Marvel Comics,-,193.0,90.0,,,,,,,
Alan Scott,0,Male,blue,-,Blond,DC Comics,-,180.0,90.0,63.0,80.0,23.0,90.0,98.0,32.0,386.0
Alex Mercer,1,Male,-,Human,-,Wildstorm,-,-99.0,-99.0,,,,,,,
Alex Woolsly,0,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Alfred Pennyworth,0,Male,blue,Human,Black,DC Comics,-,178.0,72.0,63.0,10.0,17.0,10.0,7.0,55.0,162.0
Alien,1,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,black,244.0,169.0,,,,,,,
