Name,IsBad,Gender,EyeColor,Race,HairColor,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
a-bomb,False,male,yellow,human,no hair,,203.0,441.0,38.0,100.0,17.0,80.0,17.0,64.0,316.0
abomination,True,male,green,human / radiation,no hair,,203.0,441.0,63.0,80.0,53.0,90.0,55.0,95.0,436.0
abraxas,True,male,blue,cosmic entity,black,,,,88.0,100.0,83.0,99.0,100.0,56.0,526.0
absorbing man,True,male,blue,human,no hair,,193.0,122.0,,,,,,,
agent 13,False,female,blue,,blond,,173.0,61.0,,,,,,,
agent bob,False,male,brown,human,brown,,178.0,81.0,10.0,8.0,13.0,5.0,5.0,20.0,61.0
agent zero,False,male,,,,,191.0,104.0,75.0,28.0,38.0,80.0,72.0,95.0,388.0
air-walker,True,male,blue,,white,,188.0,108.0,50.0,85.0,100.0,85.0,100.0,40.0,460.0
ajax,True,male,brown,cyborg,black,,193.0,90.0,,,,,,,
ammo,True,male,brown,human,black,,188.0,101.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
angel,False,male,blue,,blond,,183.0,68.0,63.0,13.0,46.0,64.0,17.0,42.0,245.0
angel dust,False,female,yellow,mutant,black,,165.0,57.0,,,,,,,
angel salvadore,False,female,brown,,black,,163.0,54.0,38.0,10.0,28.0,28.0,46.0,60.0,210.0
annihilus,True,male,green,,no hair,,180.0,90.0,75.0,80.0,47.0,56.0,59.0,64.0,381.0
ant-man,False,male,blue,human,blond,,211.0,122.0,100.0,10.0,23.0,28.0,32.0,32.0,225.0
ant-man ii,False,male,blue,human,blond,,183.0,86.0,63.0,10.0,23.0,28.0,32.0,28.0,184.0
anti-venom,True,male,blue,symbiote,blond,,229.0,358.0,75.0,60.0,65.0,90.0,85.0,84.0,459.0
apocalypse,True,male,red,mutant,black,grey,213.0,135.0,100.0,100.0,33.0,100.0,100.0,60.0,493.0
arachne,False,female,blue,human,blond,,175.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
