,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,A-Bomb,0,Male,yellow,Human,No Hair,Marvel Comics,1,203.0,441.0,,,,,,,
1,Abe Sapien,0,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191.0,65.0,,,,,,,
2,Abin Sur,0,Male,blue,Ungaran,No Hair,DC Comics,red,185.0,90.0,,,,,,,
3,Abomination,1,Male,green,Human / Radiation,No Hair,Marvel Comics,1,203.0,441.0,,,,,,,
4,Abraxas,1,Male,blue,Cosmic Entity,Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
5,Absorbing Man,1,Male,blue,Human,No Hair,Marvel Comics,1,193.0,122.0,,,,,,,
6,Adam Monroe,0,Male,blue,1,Blond,NBC - Heroes,1,-99.0,-99.0,,,,,,,
7,Adam Strange,0,Male,blue,Human,Blond,DC Comics,1,185.0,88.0,,,,,,,
8,Agent 13,0,Female,blue,1,Blond,Marvel Comics,1,173.0,61.0,,,,,,,
9,Agent Bob,0,Male,brown,Human,Brown,Marvel Comics,1,178.0,81.0,,,,,,,
10,Agent Zero,0,Male,1,1,1,Marvel Comics,1,191.0,104.0,,,,,,,
11,Air-Walker,1,Male,blue,1,White,Marvel Comics,1,188.0,108.0,,,,,,,
12,Ajax,1,Male,brown,Cyborg,Black,Marvel Comics,1,193.0,90.0,,,,,,,
13,Alan Scott,0,Male,blue,1,Blond,DC Comics,1,180.0,90.0,,,,,,,
14,Alex Mercer,1,Male,1,Human,1,Wildstorm,1,-99.0,-99.0,,,,,,,
15,Alex Woolsly,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
16,Alfred Pennyworth,0,Male,blue,Human,Black,DC Comics,1,178.0,72.0,,,,,,,
17,Alien,1,Male,1,Xenomorph XX121,No Hair,Dark Horse Comics,black,244.0,169.0,,,,,,,
18,Allan Quatermain,0,Male,1,1,1,Wildstorm,1,-99.0,-99.0,,,,,,,
